name,Facies,bed_count,total_thickness,mean_thickness,min_thickness,max_thickness,mean_grainsize,min_grainsize,max_grainsize,thickness_list,section_total_thickness
Colleen10,4,13,13.002699999999981,1.0002076923076908,0.17609999999999992,2.9144000000000005,3.8675784704688088,3.48,4.11,"[1.233, 0.2882, 0.1761, 2.9144, 0.3523, 0.4964, 0.2082, 0.6085, 1.8415, 1.249, 0.8167, 0.7046, 2.1138]",67.08
Colleen10,5,1,0.3683000000000005,0.3683000000000005,0.3683000000000005,0.3683000000000005,3.5656521739130436,2.46,3.7,[0.3683],67.08
Colleen10,6,31,31.40220000000003,1.012974193548388,0.06409999999999982,2.6262000000000043,3.8132394995224113,2.85,4.11,"[1.3932, 0.6405, 0.4804, 0.4323, 1.4252, 0.1442, 1.137, 0.4804, 0.0641, 1.5213, 0.8807, 0.3043, 0.9608, 0.3202, 2.37, 1.0728, 0.5604, 2.3219, 0.5445, 1.0089, 0.6886, 0.4004, 1.5053, 2.1938, 2.6262, 0.6726, 1.0248, 1.0889, 0.5764, 1.3931, 1.169]",67.08
Colleen10,9,5,0.6565000000000056,0.13130000000000114,0.0799999999999983,0.2722000000000051,3.486666666666667,3.31,3.66,"[0.0961, 0.1121, 0.0961, 0.2722, 0.08]",67.08
Colleen10,10,19,6.885900000000008,0.36241578947368464,0.06410000000000338,0.8646999999999991,3.774150918231251,2.5,4.09,"[0.5605, 0.5124, 0.4003, 0.1602, 0.4484, 0.3042, 0.4324, 0.6405, 0.4644, 0.5444, 0.1282, 0.8647, 0.1602, 0.2242, 0.1921, 0.0641, 0.2562, 0.2883, 0.2402]",67.08
Colleen10,11,5,0.6244999999999976,0.12489999999999953,0.06400000000000006,0.25619999999999976,3.56,3.36,3.82,"[0.0641, 0.2562, 0.064, 0.1441, 0.0961]",67.08
Colleen10,12,1,0.1761999999999979,0.1761999999999979,0.1761999999999979,0.1761999999999979,3.88,3.88,3.88,[0.1762],67.08
Colleen10,13,12,3.138599999999993,0.26154999999999945,0.04809999999999981,1.1529999999999987,2.8920614035087717,2.68,2.99,"[0.0481, 0.1761, 0.0641, 0.1921, 0.2402, 1.153, 0.3043, 0.1762, 0.3202, 0.112, 0.1602, 0.1921]",67.08
Colleen10,14,9,1.7452999999999923,0.19392222222222136,0.04800000000000004,0.7687000000000026,2.751851851851852,2.42,2.85,"[0.0961, 0.048, 0.1921, 0.0961, 0.096, 0.096, 0.1121, 0.7687, 0.2402]",67.08
Colleen10,15,12,1.5053999999999963,0.1254499999999997,0.06409999999999627,0.24020000000000152,2.5091666666666668,2.2,3.13,"[0.0961, 0.1281, 0.0801, 0.1281, 0.0801, 0.2402, 0.1281, 0.1922, 0.0961, 0.08, 0.1922, 0.0641]",67.08
Colleen12,2,1,0.48019999999999996,0.48019999999999996,0.48019999999999996,0.48019999999999996,3.7,3.5,3.72,[0.4802],88.80999999999999
Colleen12,3,2,4.514199999999995,2.2570999999999977,1.3766999999999996,3.1374999999999957,3.841225676317038,3.5,4.21,"[3.1375, 1.3767]",88.80999999999999
Colleen12,4,12,8.772199999999994,0.7310166666666662,0.1280000000000001,1.728900000000003,3.7663119803984912,2.89,4.09,"[1.4887, 1.7289, 0.2562, 0.3842, 0.7844, 1.6808, 0.144, 0.2401, 0.128, 1.2966, 0.4002, 0.2401]",88.80999999999999
Colleen12,6,24,35.39269999999998,1.4746958333333324,0.17610000000000525,5.794800000000002,3.7452686304896985,2.52,4.53,"[5.7948, 0.8324, 1.7448, 0.5282, 1.1845, 1.5688, 0.9765, 0.3522, 0.3522, 1.5367, 2.4811, 0.4802, 1.3607, 1.4567, 0.1761, 1.5367, 0.2241, 1.9849, 0.4482, 1.4246, 3.9539, 0.2081, 0.1921, 4.5942]",88.80999999999999
Colleen12,8,3,1.0244999999999962,0.34149999999999875,0.25609999999999644,0.4642000000000053,3.3676138082274654,2.56,3.52,"[0.2561, 0.4642, 0.3042]",88.80999999999999
